Original_Description,Manual_Category_Selected,Manual_Subcategory_Selected,
Polident%20Denture%20Cleaners%20-%20120%20count,Personal Care and Beauty,Dentures,
NEW%20BRIGHT%20RC%20CRAWLER%20TRUCKFORD%20F150%20RED%20BOMBARDER%204X4,Toys and Games,"Electronic Games, Pinball, Air Hockey Etc.",
"Rug, Rug",Housewares Home Decor,"Rugs $1,000 or More",
303 British WWII rifle,Sporting Goods and Outdoors,Collectable Firearm,
"Over the toilet organizer, white",Furniture,Particle Board Furniture,
Whirlpool Tim Kit Stainless steel,Appliances,Dishwasher,
2 water hoses,Appliances,Dishwasher,
icy hot pain relieving cream 3oz 1/4 full,Personal Care and Beauty,Wheelchair,
Food%20Goods,Food Supplies,Beverages and Staples,
"30"" ceramic table lamp with shade",Housewares Home Decor,"Lamps, Lighting & Supplies",
Kids Nail Polish Set of 12 pieces 4 ML each,Personal Care and Beauty,Cosmetics / Makeup Un-Opened,
"Over the toilet organizer, brown",Furniture,Particle Board Furniture,
Ooh%20La%20La%20new%20biotex%20fake%20hair,Personal Care and Beauty,"Wigs, Hairpieces - Under $100",
"Tennis%20Ball,%20Wilson",Sporting Goods and Outdoors,Unopened Golf or Tennis Balls,
Replacement%20Bathroom%20Shower%20Tile,Housewares Home Decor,"Room Dividers, Folding Screens",
Pack%20of%20ciggarrettes,Personal Care and Beauty,"Pipes, Vapes, Supplies Smoking",
Fur%20Jacket,Clothing and Accessories,Furs,
"14 evolv socket set, various sizes",Tools,Hand Tools - Under $200,
Ful set of hand weights and rack,Sporting Goods and Outdoors,Sporting Equipment and Supplies,
playstation 4 controllers,Toys and Games,"Electronic Games, Nintendo, Atari, Sony PlayStation, Handheld, Cartridges, Disks",
"IRIS%20USA%20Garage%20Wire%20Shelving%20Unit,%20Storage%20Shelf",Furniture,Metal Shelving,
Barbie%20and%20superhero%20dolls,Toys and Games,Other Children's Games and Toys (Including Dolls),
antique victorian rocker,Furniture,Antique,
"hot%20compress,%20CVS",Personal Care and Beauty,Hearing Aid,
Post%20Hole%20Diggers,Tools,Lifetime Warranty Tools,
Polident%20Denture%20Cleaners%20-%20120%20count,Personal Care and Beauty,Dentures,
Vortex Crossfire HD 1400 5x 21mm Laser Rangefinder LFR-CF-1400,Sporting Goods and Outdoors,Binoculars,
Marble Lazy Susan,Furniture,Microwave Cart and Stands,
Fireplace utensils,Housewares Home Decor,Fireplace Screens and Accessories,
curtain rod,Housewares Home Decor,Traverse Rods,
36%22%20ROUND%20DESIGNER%20MIRROR,Housewares Home Decor,Mirrors & Framed Mirrors,
Outdoor Kids Picnic Table with Chairs,Furniture,Infant and Children,
GE%20High%20efficiency%20washer,Appliances,Washing Machine,
Vintage%20airliner%20escape%20window%20frame,Housewares Home Decor,Mirrors & Framed Mirrors,
Hex%20Head%20Bolts%203/8%2011/16%20x%202,Tools,Power Tools & Accessories - Under $100,
Wii%20Game%20Console,Electronics,Video Game Console,
whirlpool 1.7 cu ft 1000 watt over the range microwave,Appliances,Microwaves,
1%20ryobi%20electric%20palm%20sander%20model%2056520#AJ081629512,Tools,Power Tools & Accessories - Over $100,
Ladies' wig - Stock - High grade,Personal Care and Beauty,"Wigs, Hairpieces - Over $250",
Euronext%20Real%20Hair%20Wig,Personal Care and Beauty,"Wigs, Hairpieces - $100 - $250",
